# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = code_1_model
# start_datetime = 2022-03-08 10:28:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 0
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = fixed_param
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\User\AppData\Local\Temp\tmptd51afq8\qxpsa_tz.json
# init = 2 (Default)
# random
#   seed = 71442
# output
#   file = C:\Users\User\AppData\Local\Temp\tmptd51afq8\code_1-20220308112831.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,lambda,y_sim.1,y_sim.2,y_sim.3,y_sim.4,y_sim.5,y_sim.6,y_sim.7
0,0,212.175,236,191,200,202,209,196,231
0,0,66.2242,57,66,77,74,66,65,67
0,0,83.4763,81,89,95,77,98,83,86
0,0,128.272,119,109,107,114,124,137,118
0,0,150.384,176,153,154,139,132,147,131
0,0,28.7568,29,22,25,26,28,29,23
0,0,220.375,192,210,230,240,241,219,209
0,0,215.308,238,197,208,230,196,219,228
0,0,198.215,189,195,203,211,196,212,188
0,0,14.0891,15,9,16,15,14,14,13
0,0,202.285,204,195,197,190,201,190,190
0,0,103.627,116,93,90,101,104,99,92
0,0,14.7024,18,15,16,18,22,21,22
0,0,55.1628,56,56,56,63,52,72,49
0,0,26.8186,22,25,29,24,24,38,25
0,0,166.543,172,167,161,145,152,174,133
0,0,19.0871,19,26,17,17,16,14,25
0,0,24.6251,33,21,23,32,23,35,26
0,0,128.354,125,140,124,129,127,106,116
0,0,86.8646,85,86,66,86,89,94,87
0,0,32.1854,34,26,29,19,44,29,32
0,0,60.211,63,41,57,60,57,62,56
0,0,98.1865,85,102,90,117,88,107,101
0,0,39.5449,39,54,47,30,31,40,40
0,0,66.2643,63,55,72,69,68,71,65
0,0,60.1828,62,58,58,65,61,70,59
0,0,51.3353,50,52,59,49,53,52,50
0,0,203.265,197,191,202,189,213,192,198
0,0,234.035,233,229,220,230,208,220,229
0,0,96.8365,86,110,106,123,92,103,100
0,0,160.455,169,169,153,167,152,167,138
0,0,187.312,196,178,187,197,177,203,185
0,0,88.8647,87,83,99,80,78,69,92
0,0,21.5955,23,17,26,15,16,28,20
0,0,84.2491,74,73,90,73,78,79,89
0,0,52.3227,69,45,52,42,65,59,34
0,0,34.3603,30,39,38,31,31,29,44
0,0,191.162,179,169,194,179,202,172,184
0,0,27.4969,27,31,29,33,18,32,24
0,0,88.9221,92,95,77,90,75,85,69
0,0,35.0959,37,43,33,39,36,38,28
0,0,228.708,210,195,240,231,237,249,209
0,0,44.5073,34,46,56,46,38,38,45
0,0,187.528,179,175,184,182,201,224,175
0,0,81.2154,97,79,79,90,84,68,90
0,0,63.8503,61,60,54,54,79,66,57
0,0,104.122,122,97,94,101,118,101,110
0,0,41.7356,48,47,27,56,37,41,53
0,0,94.0144,105,92,94,110,95,95,72
0,0,223.995,211,204,224,208,198,219,224
0,0,13.3633,7,26,22,14,7,11,6
0,0,85.3334,80,74,97,85,88,89,87
0,0,167.971,165,169,129,171,170,181,174
0,0,69.6058,64,78,65,70,52,50,66
0,0,25.7974,20,16,33,18,26,26,25
0,0,64.6601,58,70,64,79,74,70,58
0,0,6.19966,4,11,6,7,9,6,5
0,0,171.559,155,180,184,159,173,172,191
0,0,117.363,127,122,121,116,97,130,119
0,0,51.2555,60,49,54,53,58,46,62
0,0,202.331,193,192,217,205,178,203,215
0,0,66.9383,71,78,74,74,72,80,53
0,0,63.6029,72,49,72,69,63,47,63
0,0,110.334,114,116,103,108,140,114,108
0,0,21.3187,27,24,18,30,20,20,23
0,0,194.989,198,198,210,196,200,193,177
0,0,93.141,108,77,84,97,111,83,79
0,0,42.5083,53,50,49,43,41,40,44
0,0,160.861,155,159,163,166,163,174,190
0,0,135.569,145,143,147,144,139,135,148
0,0,101.294,102,92,108,97,104,90,107
0,0,132.873,132,131,143,126,129,142,144
0,0,29.4562,24,36,22,32,20,27,26
0,0,68.9665,56,80,80,71,72,64,75
0,0,73.7155,62,66,67,67,72,74,85
0,0,11.244,9,11,7,12,7,16,13
0,0,62.455,54,58,58,73,55,56,76
0,0,20.5809,24,23,26,22,21,24,22
0,0,143.101,140,136,135,121,152,128,160
0,0,15.9107,13,12,19,12,15,15,19
0,0,90.0496,86,81,76,96,98,103,75
0,0,18.3696,22,25,17,22,28,19,12
0,0,30.291,32,21,26,25,23,34,35
0,0,176.327,182,157,178,175,188,191,170
0,0,8.31168,9,8,11,2,8,13,11
0,0,183.509,174,178,195,183,172,190,188
0,0,242.023,233,249,236,243,261,218,252
0,0,100.384,105,96,99,107,105,107,92
0,0,19.8028,17,18,20,23,21,8,25
0,0,202.974,197,220,196,193,217,208,170
0,0,18.2491,14,9,18,19,16,21,17
0,0,202.131,200,205,207,188,216,197,210
0,0,73.4158,72,73,71,93,72,90,70
0,0,62.2667,62,69,56,59,50,53,59
0,0,134.49,131,165,146,141,150,154,151
0,0,32.4285,31,37,31,28,34,31,29
0,0,89.1314,78,89,71,75,89,77,72
0,0,93.2909,100,90,76,104,86,96,94
0,0,204.988,188,187,205,205,213,222,180
0,0,168.748,158,180,198,163,137,184,186
0,0,166.411,163,167,170,145,183,162,162
0,0,144.265,127,145,155,154,148,157,154
0,0,58.8836,49,56,58,39,58,51,62
0,0,219.682,211,228,228,220,207,226,222
0,0,75.5396,77,73,68,75,71,92,77
0,0,193.748,179,194,186,210,207,192,197
0,0,213.35,225,213,217,219,192,204,216
0,0,5.12669,11,9,7,3,7,5,5
0,0,16.1301,19,16,11,12,23,10,17
0,0,24.5482,20,28,27,21,24,28,28
0,0,78.8976,93,80,75,80,88,68,66
0,0,122.827,115,117,122,111,119,116,133
0,0,228.981,237,258,232,223,226,222,223
0,0,130.926,118,129,118,133,131,131,129
0,0,67.1323,79,78,68,53,76,66,66
0,0,209.538,209,232,202,201,228,220,219
0,0,218.91,197,216,199,217,209,233,226
0,0,398.577,399,410,367,392,411,398,411
0,0,108.28,111,117,111,110,115,127,99
0,0,50.2703,45,52,42,51,48,60,48
0,0,155.757,150,155,152,183,153,158,138
0,0,28.868,39,28,28,24,32,42,25
0,0,25.9283,18,24,27,25,21,24,26
0,0,76.5068,73,72,76,85,78,68,63
0,0,33.7607,24,40,37,33,47,34,34
0,0,111.987,98,116,130,107,110,125,127
0,0,76.0567,63,81,75,67,88,75,86
0,0,61.7882,60,66,60,50,52,63,67
0,0,136.599,140,132,153,136,136,141,150
0,0,306.334,282,264,311,332,289,315,320
0,0,18.6028,24,24,12,16,26,20,24
0,0,167.231,178,168,150,168,166,167,158
0,0,148.063,168,149,142,156,144,136,151
0,0,138.497,168,152,133,131,144,141,134
0,0,144.566,139,137,159,164,154,122,155
0,0,174.844,172,182,179,142,184,168,185
0,0,205.49,196,235,199,222,200,199,191
0,0,134.358,154,119,137,125,106,141,139
0,0,15.959,15,17,18,20,20,14,22
0,0,133.792,129,139,147,128,144,166,141
0,0,60.343,66,73,65,53,63,58,72
0,0,247.031,240,267,259,245,255,252,223
0,0,251.296,241,225,244,262,265,240,260
0,0,33.259,42,33,48,31,38,24,28
0,0,26.2306,25,23,19,31,40,17,21
0,0,19.4276,20,22,18,21,17,19,21
0,0,216.443,221,220,220,211,206,245,190
0,0,32.2992,33,47,24,32,33,30,31
0,0,173.29,183,177,160,180,195,178,179
0,0,223.856,252,236,234,219,251,229,231
0,0,51.8839,52,52,41,59,55,57,48
0,0,38.2146,31,35,31,35,43,31,42
0,0,107.118,93,115,91,122,105,89,120
0,0,12.8698,10,22,13,7,12,12,13
0,0,149.669,166,140,142,151,161,171,165
0,0,188.924,197,203,189,206,170,180,200
0,0,40.4345,52,39,32,43,47,54,40
0,0,137.63,154,151,143,145,134,126,122
0,0,35.0633,34,28,37,42,40,38,35
0,0,144.464,131,144,128,158,150,158,146
0,0,86.6324,93,90,93,83,82,74,74
0,0,14.2309,15,9,9,9,12,20,11
0,0,131.462,130,117,127,138,138,113,138
0,0,72.9462,66,79,82,82,94,66,67
0,0,92.6884,83,85,92,93,77,97,80
0,0,90.4039,100,111,98,96,84,102,98
0,0,117.705,119,135,132,116,105,128,111
0,0,100.457,94,92,105,89,106,107,84
0,0,153.261,149,172,150,158,164,149,162
0,0,139.709,145,156,148,137,145,146,136
0,0,34.1468,23,34,32,22,38,35,48
0,0,30.4091,26,29,32,27,28,19,27
0,0,53.9196,51,48,49,55,50,52,58
0,0,68.0907,64,67,64,71,55,59,74
0,0,65.6666,64,72,67,70,70,72,72
0,0,118.623,128,111,108,118,119,124,108
0,0,18.7518,14,21,20,15,26,23,16
0,0,200.068,203,229,201,208,196,204,197
0,0,150.045,166,179,165,142,164,166,145
0,0,23.1082,19,23,18,22,33,16,27
0,0,92.231,99,97,86,98,86,94,98
0,0,11.2621,6,9,14,11,13,6,10
0,0,93.8622,92,97,69,93,80,104,103
0,0,39.8785,43,38,43,34,43,36,55
0,0,58.6123,53,50,57,55,47,64,54
0,0,60.5624,66,55,60,62,50,78,53
0,0,26.5148,24,30,16,33,31,27,34
0,0,164.333,151,168,179,155,183,164,152
0,0,394.503,402,399,381,418,363,415,366
0,0,323.255,310,293,343,313,323,330,325
0,0,37.8087,36,37,33,45,37,45,26
0,0,44.6805,36,42,40,47,44,48,45
0,0,47.7288,50,42,38,51,63,49,46
0,0,173.38,159,165,172,178,139,178,169
0,0,97.0899,113,76,104,90,94,78,91
0,0,152.295,145,144,155,156,142,154,164
0,0,135.383,144,151,133,135,144,119,128
0,0,59.3735,65,63,57,54,52,51,65
0,0,123.991,131,122,139,122,144,108,126
0,0,138.36,121,132,123,151,122,127,143
0,0,62.6338,54,54,74,59,63,63,55
0,0,10.0327,7,12,8,5,8,4,12
0,0,90.5556,85,86,104,84,92,100,96
0,0,213.247,230,207,214,228,199,211,178
0,0,32.0447,31,28,24,36,30,36,31
0,0,37.1615,41,44,44,30,30,38,38
0,0,52.0955,56,56,52,43,61,56,55
0,0,33.5605,37,40,26,16,45,30,33
0,0,92.3307,97,89,87,103,88,86,84
0,0,196.126,202,202,160,191,193,171,194
0,0,150.076,168,147,147,134,168,145,125
0,0,29.5312,34,27,28,26,38,23,36
0,0,127.255,122,122,118,117,125,123,116
0,0,178.123,183,179,163,184,199,177,175
0,0,148.237,139,166,140,131,156,144,151
0,0,15.3975,19,17,16,14,11,20,17
0,0,97.9082,105,98,91,94,96,102,102
0,0,144.515,121,175,149,136,154,151,160
0,0,131.733,132,145,136,137,132,138,147
0,0,49.4024,39,52,48,55,44,29,44
0,0,19.3968,24,17,17,32,26,23,28
0,0,69.0452,65,54,82,62,63,68,60
0,0,95.914,90,111,107,112,94,103,99
0,0,170.828,169,190,166,174,178,167,168
0,0,259.027,287,244,252,243,254,249,250
0,0,63.7728,62,60,60,80,67,63,54
0,0,54.7269,52,53,51,59,46,53,71
0,0,121.736,135,100,117,137,127,126,134
0,0,151.795,157,141,146,147,168,144,156
0,0,35.6887,36,33,31,41,46,28,33
0,0,80.1847,67,81,98,92,73,75,83
0,0,209.035,209,222,177,216,220,193,215
0,0,77.766,92,66,78,88,83,81,68
0,0,266.013,273,274,276,257,257,278,268
0,0,41.3649,50,36,44,44,43,40,36
0,0,92.6388,93,92,83,89,76,87,95
0,0,120.458,121,145,135,96,127,110,105
0,0,70.1858,72,63,63,70,73,67,66
0,0,249.915,250,217,236,233,261,241,250
0,0,139.246,126,133,126,116,138,125,134
0,0,177.662,168,179,173,174,193,181,164
0,0,17.2365,18,16,15,14,13,20,23
0,0,90.9263,91,82,95,99,92,80,111
0,0,58.1897,59,62,68,57,61,67,60
0,0,128.919,128,136,148,133,124,132,127
0,0,116.019,105,104,115,122,123,115,124
0,0,13.4266,13,8,11,12,9,11,15
0,0,70.3833,70,71,79,70,72,64,79
0,0,83.4038,100,80,65,100,82,86,84
0,0,144.089,144,151,143,138,137,150,157
0,0,50.0698,45,51,43,47,42,43,56
0,0,113.67,124,103,97,109,115,117,123
0,0,102.103,103,118,94,106,122,103,95
0,0,157.622,160,165,160,140,160,173,152
0,0,2.23982,2,2,2,1,1,1,0
0,0,44.2417,35,35,44,40,42,45,37
0,0,30.1527,28,37,21,28,34,35,26
0,0,51.0378,45,50,53,47,54,62,42
0,0,160.693,160,150,190,159,147,142,168
0,0,5.17689,5,3,6,3,3,5,9
0,0,25.2691,36,18,39,19,18,18,31
0,0,6.69705,7,6,6,10,15,8,6
0,0,214.153,204,211,204,231,215,226,216
0,0,38.2716,42,34,38,49,35,43,49
0,0,215.917,244,214,231,207,233,223,212
0,0,53.8032,67,55,54,34,45,42,58
0,0,96.0541,97,93,88,91,94,101,109
0,0,109.55,78,111,106,113,117,107,109
0,0,48.9981,46,47,62,59,55,49,58
0,0,131.175,112,150,121,141,144,124,133
0,0,104.769,119,105,101,121,96,98,121
0,0,78.3013,99,71,87,59,66,70,75
0,0,81.8363,79,89,75,74,85,75,83
0,0,3.36532,2,3,6,7,3,3,0
0,0,32.3672,37,50,25,39,33,41,34
0,0,117.841,132,107,114,103,124,116,111
0,0,7.53392,10,7,7,9,7,9,6
0,0,135.071,145,137,147,139,137,133,138
0,0,14.0521,12,16,9,11,12,12,19
0,0,162.676,158,149,182,135,171,166,159
0,0,55.309,59,63,61,58,53,66,57
0,0,11.8753,9,15,14,11,11,17,18
0,0,123.983,130,139,129,105,119,116,128
0,0,3.98472,3,4,3,6,5,2,7
0,0,27.3537,32,27,41,23,21,30,27
0,0,106.227,98,120,118,101,76,104,114
0,0,139.497,178,145,147,148,136,133,141
0,0,151.912,148,147,138,160,158,149,151
0,0,96.0308,98,91,99,92,101,83,96
0,0,113.71,117,111,107,125,142,103,98
0,0,20.6462,14,21,30,17,21,19,19
0,0,90.635,78,89,92,75,95,83,97
0,0,26.046,24,25,31,27,17,20,17
0,0,130.143,133,133,121,135,151,140,137
0,0,166.733,178,189,153,151,170,166,153
0,0,42.1758,58,35,45,46,53,51,38
0,0,20.6524,16,21,22,25,21,21,13
0,0,68.8664,72,64,71,54,72,70,50
0,0,173.991,185,169,178,169,185,152,161
0,0,28.4296,34,28,35,30,30,28,28
0,0,5.52429,5,7,4,6,5,4,5
0,0,132.807,156,133,141,151,143,121,141
0,0,14.7087,17,13,11,13,17,16,15
0,0,74.1223,63,80,73,72,80,72,84
0,0,17.8914,11,14,18,21,26,20,21
0,0,144.276,125,128,140,140,149,148,130
0,0,5.56513,4,8,7,9,5,6,3
0,0,258.9,263,223,256,277,245,253,262
0,0,315.339,311,332,317,302,302,293,322
0,0,129.149,132,172,132,122,144,123,137
0,0,66.9023,58,64,64,57,76,60,64
0,0,13.1266,14,13,12,20,17,13,13
0,0,27.0181,23,24,25,26,24,29,38
0,0,59.318,56,64,62,68,51,78,63
0,0,69.8574,70,68,82,74,73,83,58
0,0,94.193,95,91,100,87,101,87,96
0,0,61.5796,69,59,70,66,55,66,63
0,0,63.7395,78,63,66,65,62,55,69
0,0,244.337,240,241,237,240,236,232,255
0,0,112.641,112,136,108,110,99,94,102
0,0,41.6952,43,34,39,34,40,47,53
0,0,141.638,142,132,145,137,153,149,156
0,0,66.3828,64,73,75,65,70,78,73
0,0,111.66,99,127,105,131,123,110,122
0,0,101.338,108,93,81,98,95,110,105
0,0,211.598,224,202,198,205,199,238,185
0,0,112.639,105,122,98,99,100,117,110
0,0,110.154,108,110,94,118,106,132,98
0,0,162.689,166,166,158,145,175,162,182
0,0,11.9431,10,17,15,9,11,9,6
0,0,56.5072,65,59,58,54,53,59,61
0,0,96.9444,93,92,108,94,96,107,93
0,0,31.4543,24,32,33,34,35,36,22
0,0,40.827,37,46,39,41,46,67,34
0,0,92.6943,93,96,94,98,86,99,96
0,0,11.3059,13,8,7,16,8,11,19
0,0,381.895,358,393,362,377,410,378,378
0,0,164.453,181,149,136,193,172,178,159
0,0,26.9128,10,25,22,32,39,23,28
0,0,49.5046,54,47,47,59,55,36,48
0,0,100.339,91,92,99,99,96,94,79
0,0,197.581,206,184,188,206,218,176,184
0,0,62.2684,60,81,61,72,77,61,74
0,0,71.9435,66,60,73,76,72,61,94
0,0,8.79831,1,9,12,7,12,5,10
0,0,6.36475,8,5,10,7,4,9,8
0,0,45.3094,57,39,55,48,38,45,44
0,0,177.543,184,158,165,184,169,190,195
0,0,118.626,114,109,115,106,137,123,103
0,0,42.8978,40,30,44,35,40,47,55
0,0,101.116,99,89,93,88,100,114,103
0,0,182.561,205,172,155,185,181,167,204
0,0,89.0371,94,102,101,82,104,89,88
0,0,104.636,109,102,104,103,112,99,109
0,0,71.2618,67,60,70,74,80,71,52
0,0,189.019,173,201,196,203,204,187,157
0,0,111.652,120,114,97,104,106,117,120
0,0,99.775,93,98,115,98,92,95,84
0,0,28.8107,29,36,27,31,24,22,24
0,0,81.3907,75,86,77,77,59,77,70
0,0,38.462,42,37,32,49,40,54,40
0,0,4.58837,8,5,6,10,3,4,7
0,0,237.266,213,242,237,268,223,256,217
0,0,13.6875,12,10,10,12,10,9,16
0,0,138.143,140,119,150,120,122,133,138
0,0,214.611,234,218,195,212,204,210,200
0,0,120.797,135,128,107,131,125,116,122
0,0,15.6274,14,28,22,19,12,12,21
0,0,77.919,71,72,77,73,76,78,78
0,0,156.838,159,165,167,161,167,156,156
